"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR037883",2,2,"FUN_000247,FUN_011104","Knr4/Smi1-like domain superfamily","FUN_000247,FUN_011104",0.00821627352239597,"Knr4/Smi1-like domain superfamily IPR037883",1.67993324703956e-05,0.164163076900706,0.164163076900706,0.164163076900706,1
"IPR018958",3,2,"FUN_003235,FUN_000247,FUN_011104","Knr4/Smi1-like domain","FUN_000247,FUN_011104",0.012324410283594,"Knr4/Smi1-like domain IPR018958",5.02612364690764e-05,0.491152802775814,0.491102541539345,0.245576401387907,1
"IPR008376",4,2,"FUN_011168,FUN_011168,FUN_011168,FUN_011168","Synembryn","FUN_011168,FUN_011168",0.0164325470447919,"Synembryn IPR008376",0.00010024978219921,0.979640871650677,0.979440372086279,0.326546957216892,1
"IPR002126",295,7,"FUN_000131,FUN_003152,FUN_001657,FUN_001657,FUN_001657,FUN_001657,FUN_001657,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_000114,FUN_000114,FUN_000114,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_001398,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004607,FUN_004607,FUN_007954,FUN_007954,FUN_009678,FUN_009678,FUN_009678,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_009904,FUN_009904,FUN_009904,FUN_009904,FUN_009904,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009677,FUN_009677,FUN_009677,FUN_009677,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_010242,FUN_009650,FUN_009650,FUN_009650,FUN_009650,FUN_009650,FUN_009650,FUN_009650,FUN_012530,FUN_012530,FUN_012530,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_016745,FUN_016745,FUN_016120,FUN_016778,FUN_016778,FUN_016779,FUN_016779,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_001835,FUN_001835,FUN_001658,FUN_001658,FUN_001658,FUN_001658","Cadherin-like","FUN_004019,FUN_004019,FUN_000880,FUN_000296,FUN_000296,FUN_009636,FUN_009898",1.21190034455341,"Cadherin-like IPR002126",0.000237218675241466,1,1,0.5795252236149,1
"IPR015919",151,5,"FUN_003152,FUN_001657,FUN_001657,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_004019,FUN_000114,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_000880,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_000296,FUN_001398,FUN_004875,FUN_004875,FUN_004875,FUN_004875,FUN_004607,FUN_007954,FUN_009678,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012242,FUN_012585,FUN_009904,FUN_009904,FUN_009679,FUN_009679,FUN_009679,FUN_009679,FUN_009677,FUN_009677,FUN_009677,FUN_012508,FUN_012508,FUN_012508,FUN_012508,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_009652,FUN_010242,FUN_010242,FUN_009650,FUN_009650,FUN_009650,FUN_009650,FUN_012530,FUN_012530,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_009636,FUN_016745,FUN_016745,FUN_016120,FUN_016120,FUN_016778,FUN_016778,FUN_015128,FUN_016779,FUN_016779,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_009898,FUN_016119,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_007955,FUN_001835,FUN_001658,FUN_001658","Cadherin-like superfamily","FUN_004019,FUN_000880,FUN_000296,FUN_009636,FUN_009898",0.620328650940896,"Cadherin-like superfamily IPR015919",0.000420382696947275,1,1,0.821595942913755,1
"IPR001767",9,2,"FUN_001382,FUN_004406,FUN_007777,FUN_005087,FUN_008606,FUN_011183,FUN_009587,FUN_005085,FUN_006606","Hedgehog protein, Hint domain","FUN_008606,FUN_005085",0.0369732308507819,"Hedgehog protein, Hint domain IPR001767",0.000593392212883721,1,1,0.966438117383286,1
"IPR036844",11,2,"FUN_003529,FUN_001382,FUN_001391,FUN_004406,FUN_007777,FUN_005087,FUN_008606,FUN_011183,FUN_009587,FUN_005085,FUN_006606","Hint domain superfamily","FUN_008606,FUN_005085",0.0451895043731778,"Hint domain superfamily IPR036844",0.000901669953996847,1,1,1,1
"IPR003392",15,2,"FUN_002066,FUN_007518,FUN_007520,FUN_007520,FUN_008582,FUN_007169,FUN_006581,FUN_007168,FUN_005956,FUN_005964,FUN_009281,FUN_009281,FUN_005409,FUN_005409,FUN_003973","Protein patched/dispatched","FUN_006581,FUN_007168",0.0616220514179698,"Protein patched/dispatched IPR003392",0.00170282488507277,1,1,1,1
"IPR031437",15,2,"FUN_004146,FUN_004146,FUN_004146,FUN_004146,FUN_012242,FUN_012242,FUN_012242,FUN_011410,FUN_012403,FUN_005306,FUN_007617,FUN_007617,FUN_001897,FUN_001897,FUN_001897","Transmembrane protein family 132, middle domain","FUN_012403,FUN_001897",0.0616220514179698,"Transmembrane protein family 132, middle domain IPR031437",0.00170282488507277,1,1,1,1
"IPR002772",18,2,"FUN_001695,FUN_000180,FUN_001738,FUN_001530,FUN_000120,FUN_001789,FUN_002430,FUN_007408,FUN_006075,FUN_006057,FUN_008279,FUN_006459,FUN_006953,FUN_007417,FUN_009768,FUN_009769,FUN_016190,FUN_015987","Glycoside hydrolase family 3 C-terminal domain","FUN_001530,FUN_009768",0.0739464617015637,"Glycoside hydrolase family 3 C-terminal domain IPR002772",0.00246120636595712,1,1,1,1
"IPR036881",20,2,"FUN_001695,FUN_000180,FUN_001738,FUN_001530,FUN_000120,FUN_001789,FUN_002430,FUN_007408,FUN_006075,FUN_006075,FUN_006057,FUN_008279,FUN_006459,FUN_006953,FUN_007417,FUN_009768,FUN_009769,FUN_016126,FUN_016190,FUN_015987","Glycoside hydrolase family 3 C-terminal domain superfamily","FUN_001530,FUN_009768",0.0821627352239597,"Glycoside hydrolase family 3 C-terminal domain superfamily IPR036881",0.00303992416721719,1,1,1,1
"IPR016186",22,2,"FUN_002436,FUN_003202,FUN_003833,FUN_007862,FUN_005353,FUN_011428,FUN_011428,FUN_011428,FUN_012585,FUN_011352,FUN_011352,FUN_011451,FUN_011451,FUN_011348,FUN_011348,FUN_011348,FUN_011465,FUN_016541,FUN_015493,FUN_008250,FUN_001835,FUN_002629","C-type lectin-like/link domain superfamily","FUN_011428,FUN_008250",0.0903790087463557,"C-type lectin-like/link domain superfamily IPR016186",0.00367599774490635,1,1,1,1
"IPR006958",1,1,"FUN_000431","Mak16 protein","FUN_000431",0.00410813676119799,"Mak16 protein IPR006958",0.00410813676119798,1,1,1,1
"IPR007015",1,1,"FUN_006765","DNA polymerase V/Myb-binding protein 1A","FUN_006765",0.00410813676119799,"DNA polymerase V/Myb-binding protein 1A IPR007015",0.00410813676119798,1,1,1,1
"IPR009772",1,1,"FUN_006632","Cell division cycle protein 123","FUN_006632",0.00410813676119799,"Cell division cycle protein 123 IPR009772",0.00410813676119798,1,1,1,1
"IPR019318",1,1,"FUN_011168","Guanine nucleotide exchange factor, Ric8","FUN_011168",0.00410813676119799,"Guanine nucleotide exchange factor, Ric8 IPR019318",0.00410813676119798,1,1,1,1
"IPR025631",1,1,"FUN_015428","Putative porin-10","FUN_015428",0.00410813676119799,"Putative porin-10 IPR025631",0.00410813676119798,1,1,1,1
"IPR026316",1,1,"FUN_001939","KAT8 regulatory NSL complex subunit 2","FUN_001939",0.00410813676119799,"KAT8 regulatory NSL complex subunit 2 IPR026316",0.00410813676119798,1,1,1,1
"IPR026532",1,1,"FUN_002457","Ribosome biogenesis protein BRX1","FUN_002457",0.00410813676119799,"Ribosome biogenesis protein BRX1 IPR026532",0.00410813676119798,1,1,1,1
"IPR026894",1,1,"FUN_004549","DNAJ-containing protein, X-domain","FUN_004549",0.00410813676119799,"DNAJ-containing protein, X-domain IPR026894",0.00410813676119798,1,1,1,1
"IPR028361",1,1,"FUN_008397","GPI-anchor transamidase","FUN_008397",0.00410813676119799,"GPI-anchor transamidase IPR028361",0.00410813676119798,1,1,1,1
"IPR028648",1,1,"FUN_005295","Vacuolar protein sorting-associated protein 5-like","FUN_005295",0.00410813676119799,"Vacuolar protein sorting-associated protein 5-like IPR028648",0.00410813676119798,1,1,1,1
"IPR030662",1,1,"FUN_009704","Diphthine--ammonia ligase/Uncharacterised protein MJ0570","FUN_009704",0.00410813676119799,"Diphthine--ammonia ligase/Uncharacterised protein MJ0570 IPR030662",0.00410813676119798,1,1,1,1
"IPR030844",1,1,"FUN_005720","PAN2-PAN3 deadenylation complex subunit PAN3","FUN_005720",0.00410813676119799,"PAN2-PAN3 deadenylation complex subunit PAN3 IPR030844",0.00410813676119798,1,1,1,1
"IPR031139",1,1,"FUN_002455","RPGRIP1 family","FUN_002455",0.00410813676119799,"RPGRIP1 family IPR031139",0.00410813676119798,1,1,1,1
"IPR035542",1,1,"FUN_000617","Cyclophilin-RNA interacting protein","FUN_000617",0.00410813676119799,"Cyclophilin-RNA interacting protein IPR035542",0.00410813676119798,1,1,1,1
"IPR039130",1,1,"FUN_007320","Inner centromere protein","FUN_007320",0.00410813676119799,"Inner centromere protein IPR039130",0.00410813676119798,1,1,1,1
"IPR039656",1,1,"FUN_001043","Synergin gamma","FUN_001043",0.00410813676119799,"Synergin gamma IPR039656",0.00410813676119798,1,1,1,1
"IPR039900",1,1,"FUN_009211","Pat1-like","FUN_009211",0.00410813676119799,"Pat1-like IPR039900",0.00410813676119798,1,1,1,1
"IPR000515",24,2,"FUN_001416,FUN_013893,FUN_012807,FUN_012806,FUN_013597,FUN_014107,FUN_013341,FUN_013598,FUN_013637,FUN_014106,FUN_013028,FUN_013028,FUN_013778,FUN_013337,FUN_013924,FUN_013781,FUN_013554,FUN_013554,FUN_013925,FUN_013404,FUN_013404,FUN_010398,FUN_007215,FUN_007215","ABC transporter type 1, transmembrane domain MetI-like","FUN_001416,FUN_007215",0.0985952822687517,"ABC transporter type 1, transmembrane domain MetI-like IPR000515",0.00436845639418899,1,1,1,1
"IPR011009",396,6,"FUN_003005,FUN_003156,FUN_000848,FUN_003115,FUN_000436,FUN_000991,FUN_000173,FUN_002650,FUN_003522,FUN_003087,FUN_001880,FUN_001216,FUN_003131,FUN_000703,FUN_003765,FUN_002469,FUN_001436,FUN_002008,FUN_003223,FUN_001740,FUN_002896,FUN_002996,FUN_002235,FUN_003164,FUN_004214,FUN_001425,FUN_003105,FUN_001136,FUN_003750,FUN_002383,FUN_002383,FUN_001059,FUN_002421,FUN_001158,FUN_000482,FUN_004335,FUN_000434,FUN_002103,FUN_000472,FUN_001895,FUN_003424,FUN_003423,FUN_002554,FUN_001424,FUN_002598,FUN_001098,FUN_003722,FUN_003722,FUN_003722,FUN_001107,FUN_003150,FUN_001506,FUN_001883,FUN_003008,FUN_000656,FUN_000987,FUN_000987,FUN_003166,FUN_002653,FUN_003729,FUN_001341,FUN_002892,FUN_003751,FUN_003751,FUN_003163,FUN_002141,FUN_001405,FUN_000353,FUN_000316,FUN_003764,FUN_001385,FUN_003591,FUN_001522,FUN_001522,FUN_001178,FUN_002344,FUN_000429,FUN_002043,FUN_001240,FUN_003469,FUN_001130,FUN_000818,FUN_004367,FUN_003998,FUN_002476,FUN_001081,FUN_003696,FUN_002627,FUN_002168,FUN_003154,FUN_004140,FUN_003078,FUN_000604,FUN_004425,FUN_004460,FUN_001456,FUN_001275,FUN_003341,FUN_003341,FUN_000427,FUN_002446,FUN_002889,FUN_003953,FUN_000342,FUN_001786,FUN_004192,FUN_001432,FUN_003084,FUN_003084,FUN_003165,FUN_001871,FUN_001871,FUN_000945,FUN_002638,FUN_003379,FUN_001469,FUN_003777,FUN_003283,FUN_000873,FUN_003405,FUN_002209,FUN_003883,FUN_002093,FUN_003853,FUN_001435,FUN_004548,FUN_002327,FUN_008176,FUN_009112,FUN_004765,FUN_007219,FUN_007559,FUN_005253,FUN_006637,FUN_007512,FUN_004687,FUN_008271,FUN_004642,FUN_004651,FUN_004580,FUN_007797,FUN_006960,FUN_005476,FUN_008321,FUN_004791,FUN_004578,FUN_006429,FUN_005257,FUN_004789,FUN_006819,FUN_007028,FUN_006744,FUN_006135,FUN_008447,FUN_005475,FUN_007337,FUN_009117,FUN_008958,FUN_007221,FUN_005201,FUN_006824,FUN_005422,FUN_006912,FUN_006912,FUN_004664,FUN_005833,FUN_007863,FUN_007890,FUN_007730,FUN_008849,FUN_007407,FUN_007402,FUN_004797,FUN_008453,FUN_007551,FUN_008751,FUN_005678,FUN_005676,FUN_005676,FUN_005676,FUN_005761,FUN_004781,FUN_007379,FUN_004916,FUN_007414,FUN_008613,FUN_007002,FUN_006134,FUN_004693,FUN_009060,FUN_006173,FUN_005652,FUN_007388,FUN_004653,FUN_007179,FUN_005717,FUN_008484,FUN_008498,FUN_006556,FUN_007742,FUN_005728,FUN_007780,FUN_005823,FUN_008755,FUN_006194,FUN_008496,FUN_007376,FUN_005332,FUN_008827,FUN_006428,FUN_008010,FUN_007690,FUN_006535,FUN_008422,FUN_007516,FUN_004894,FUN_005181,FUN_007758,FUN_006537,FUN_007465,FUN_007633,FUN_007291,FUN_007888,FUN_006031,FUN_008469,FUN_005294,FUN_006052,FUN_007475,FUN_005277,FUN_008136,FUN_008318,FUN_005584,FUN_005677,FUN_004872,FUN_009181,FUN_005805,FUN_006868,FUN_005174,FUN_007258,FUN_008678,FUN_004983,FUN_007185,FUN_005495,FUN_005279,FUN_004807,FUN_007373,FUN_009967,FUN_009495,FUN_010468,FUN_010652,FUN_009616,FUN_010188,FUN_010683,FUN_009842,FUN_011206,FUN_010438,FUN_013695,FUN_011576,FUN_011576,FUN_009266,FUN_012212,FUN_009276,FUN_011579,FUN_011579,FUN_009249,FUN_010234,FUN_010550,FUN_011937,FUN_010915,FUN_009380,FUN_009844,FUN_014399,FUN_013918,FUN_011573,FUN_011573,FUN_013145,FUN_011822,FUN_009797,FUN_009905,FUN_011207,FUN_009852,FUN_010159,FUN_010551,FUN_011856,FUN_012862,FUN_011337,FUN_010051,FUN_013906,FUN_011829,FUN_012516,FUN_010875,FUN_009869,FUN_010734,FUN_011858,FUN_011581,FUN_011581,FUN_009246,FUN_009903,FUN_009493,FUN_009310,FUN_010192,FUN_011245,FUN_009248,FUN_014324,FUN_010366,FUN_009311,FUN_009881,FUN_010171,FUN_011416,FUN_010332,FUN_010332,FUN_011488,FUN_011585,FUN_010087,FUN_009389,FUN_011555,FUN_010973,FUN_013476,FUN_009515,FUN_012492,FUN_013155,FUN_013155,FUN_011855,FUN_011859,FUN_012834,FUN_011302,FUN_010080,FUN_009376,FUN_010473,FUN_011571,FUN_012486,FUN_009888,FUN_013154,FUN_013154,FUN_014081,FUN_010470,FUN_010682,FUN_009247,FUN_011115,FUN_010476,FUN_010546,FUN_009271,FUN_009263,FUN_012250,FUN_015064,FUN_003086,FUN_006827,FUN_008008,FUN_003082,FUN_003082,FUN_007295,FUN_008883,FUN_008870,FUN_006863,FUN_001262,FUN_008019,FUN_004890,FUN_002697,FUN_010889,FUN_010940,FUN_000020,FUN_005720,FUN_001238,FUN_000367,FUN_000182,FUN_007218,FUN_010483,FUN_011106,FUN_011106,FUN_008250,FUN_002084,FUN_001772,FUN_010675,FUN_007702,FUN_009630,FUN_009630,FUN_003622,FUN_008395,FUN_010503,FUN_009229,FUN_010872,FUN_003289,FUN_000334,FUN_001289,FUN_003311,FUN_008826,FUN_005340,FUN_009223,FUN_003221,FUN_004931,FUN_004486,FUN_005383,FUN_007364,FUN_009579,FUN_009579,FUN_001371","Protein kinase-like domain superfamily","FUN_003087,FUN_002103,FUN_003082,FUN_002697,FUN_008826,FUN_004486",1.6268221574344,"Protein kinase-like domain superfamily IPR011009",0.00616701608711241,1,1,1,1
"IPR001245",288,5,"FUN_002650,FUN_003522,FUN_003522,FUN_003522,FUN_003522,FUN_003522,FUN_003087,FUN_001216,FUN_003131,FUN_000703,FUN_003765,FUN_003765,FUN_003765,FUN_003765,FUN_003765,FUN_001740,FUN_001425,FUN_001425,FUN_001425,FUN_001425,FUN_001425,FUN_003750,FUN_001059,FUN_001059,FUN_001059,FUN_001059,FUN_001059,FUN_000482,FUN_002103,FUN_001895,FUN_003424,FUN_003423,FUN_002554,FUN_002554,FUN_002554,FUN_002554,FUN_002554,FUN_003722,FUN_003722,FUN_003722,FUN_003722,FUN_003150,FUN_003150,FUN_003150,FUN_003150,FUN_003150,FUN_001506,FUN_001506,FUN_001506,FUN_001506,FUN_001506,FUN_000987,FUN_000987,FUN_002653,FUN_003751,FUN_000353,FUN_003764,FUN_003764,FUN_003764,FUN_003764,FUN_003764,FUN_002344,FUN_000429,FUN_000376,FUN_003998,FUN_003998,FUN_003998,FUN_003998,FUN_002476,FUN_001081,FUN_002168,FUN_004140,FUN_004140,FUN_004140,FUN_004140,FUN_004140,FUN_003078,FUN_001275,FUN_002889,FUN_003953,FUN_000342,FUN_003084,FUN_003084,FUN_001871,FUN_002209,FUN_002327,FUN_004651,FUN_006960,FUN_005476,FUN_005476,FUN_005476,FUN_005476,FUN_005476,FUN_004791,FUN_006429,FUN_006429,FUN_006429,FUN_006429,FUN_006429,FUN_004789,FUN_006819,FUN_007028,FUN_006135,FUN_006135,FUN_006135,FUN_006135,FUN_005475,FUN_005475,FUN_005475,FUN_005475,FUN_005475,FUN_007221,FUN_006824,FUN_006824,FUN_006824,FUN_005422,FUN_005422,FUN_005422,FUN_005422,FUN_005422,FUN_006912,FUN_006912,FUN_006912,FUN_006912,FUN_006912,FUN_006912,FUN_007863,FUN_007863,FUN_007863,FUN_007863,FUN_007407,FUN_004797,FUN_004797,FUN_004797,FUN_004797,FUN_007551,FUN_005678,FUN_005678,FUN_005678,FUN_005678,FUN_005678,FUN_005676,FUN_005676,FUN_007414,FUN_007414,FUN_007414,FUN_007414,FUN_006134,FUN_005652,FUN_007388,FUN_004653,FUN_007179,FUN_007179,FUN_008484,FUN_006556,FUN_006556,FUN_006556,FUN_006556,FUN_006556,FUN_007780,FUN_007780,FUN_007780,FUN_007780,FUN_008755,FUN_007376,FUN_007376,FUN_005332,FUN_008827,FUN_008827,FUN_006428,FUN_007690,FUN_006535,FUN_006535,FUN_007291,FUN_006052,FUN_006052,FUN_006052,FUN_006052,FUN_006052,FUN_005677,FUN_004872,FUN_009181,FUN_005805,FUN_007185,FUN_004807,FUN_009967,FUN_009967,FUN_010652,FUN_009616,FUN_009616,FUN_009616,FUN_009616,FUN_010188,FUN_010188,FUN_010683,FUN_009842,FUN_011206,FUN_009249,FUN_010234,FUN_009844,FUN_009797,FUN_009797,FUN_009797,FUN_009797,FUN_011207,FUN_011207,FUN_011207,FUN_011207,FUN_011207,FUN_010159,FUN_012516,FUN_010875,FUN_009869,FUN_010734,FUN_009246,FUN_009246,FUN_009246,FUN_009246,FUN_009493,FUN_009493,FUN_009493,FUN_010192,FUN_010366,FUN_009881,FUN_009515,FUN_011302,FUN_011302,FUN_011302,FUN_011302,FUN_010080,FUN_010473,FUN_012486,FUN_009247,FUN_011115,FUN_010476,FUN_009271,FUN_003086,FUN_003086,FUN_003086,FUN_003086,FUN_006827,FUN_008008,FUN_008008,FUN_008008,FUN_008008,FUN_008008,FUN_003082,FUN_003082,FUN_008870,FUN_008019,FUN_008019,FUN_008019,FUN_008019,FUN_008019,FUN_000020,FUN_001238,FUN_007218,FUN_010483,FUN_011106,FUN_011106,FUN_008250,FUN_002084,FUN_001772,FUN_009630,FUN_009630,FUN_009630,FUN_009630,FUN_009630,FUN_009630,FUN_009630,FUN_003622,FUN_010503,FUN_010872,FUN_001289,FUN_008826,FUN_003221,FUN_003221,FUN_003221,FUN_003221,FUN_003221,FUN_004486,FUN_005383,FUN_005383,FUN_005383,FUN_005383,FUN_005383,FUN_007364,FUN_001371","Serine-threonine/tyrosine-protein kinase, catalytic domain","FUN_003087,FUN_002103,FUN_003082,FUN_008826,FUN_004486",1.18314338722502,"Serine-threonine/tyrosine-protein kinase, catalytic domain IPR001245",0.00698274059138186,1,1,1,1
"IPR016024",188,4,"FUN_000905,FUN_000388,FUN_003676,FUN_000246,FUN_001500,FUN_003036,FUN_004166,FUN_001619,FUN_003941,FUN_000251,FUN_000453,FUN_003157,FUN_002832,FUN_000535,FUN_001697,FUN_001574,FUN_002648,FUN_000198,FUN_003573,FUN_000505,FUN_002626,FUN_002158,FUN_000943,FUN_004335,FUN_000876,FUN_004552,FUN_003233,FUN_003233,FUN_001883,FUN_001790,FUN_001935,FUN_003166,FUN_001394,FUN_000378,FUN_000378,FUN_000378,FUN_002372,FUN_003089,FUN_003089,FUN_000874,FUN_003984,FUN_003226,FUN_003037,FUN_000810,FUN_001482,FUN_000613,FUN_003498,FUN_000523,FUN_001283,FUN_002952,FUN_004562,FUN_004317,FUN_002473,FUN_004336,FUN_000922,FUN_000724,FUN_001114,FUN_000351,FUN_000770,FUN_001498,FUN_000653,FUN_001905,FUN_004216,FUN_002826,FUN_001850,FUN_003035,FUN_004167,FUN_000998,FUN_001106,FUN_006934,FUN_008380,FUN_004765,FUN_007088,FUN_006927,FUN_008328,FUN_006241,FUN_006708,FUN_005947,FUN_008031,FUN_005160,FUN_005972,FUN_005198,FUN_006532,FUN_006422,FUN_009007,FUN_006684,FUN_008713,FUN_007337,FUN_008958,FUN_005941,FUN_005826,FUN_004985,FUN_004985,FUN_005816,FUN_008283,FUN_005834,FUN_005023,FUN_006601,FUN_005280,FUN_006801,FUN_008128,FUN_007314,FUN_009022,FUN_005948,FUN_005103,FUN_007247,FUN_007247,FUN_007386,FUN_005339,FUN_009050,FUN_006036,FUN_007845,FUN_007930,FUN_006749,FUN_004729,FUN_005141,FUN_006547,FUN_005211,FUN_007387,FUN_009173,FUN_005029,FUN_007726,FUN_008934,FUN_006182,FUN_006950,FUN_007297,FUN_006031,FUN_005870,FUN_004891,FUN_006851,FUN_006595,FUN_006816,FUN_008327,FUN_007591,FUN_006879,FUN_005142,FUN_004587,FUN_004587,FUN_008156,FUN_005600,FUN_011266,FUN_012167,FUN_010496,FUN_012204,FUN_010851,FUN_010915,FUN_010545,FUN_010920,FUN_009504,FUN_010494,FUN_009939,FUN_010948,FUN_009805,FUN_010106,FUN_012201,FUN_010495,FUN_010784,FUN_011147,FUN_009712,FUN_010748,FUN_009711,FUN_011259,FUN_011288,FUN_010569,FUN_010107,FUN_010235,FUN_011932,FUN_011944,FUN_010752,FUN_009349,FUN_013322,FUN_009794,FUN_009581,FUN_016685,FUN_003968,FUN_005041,FUN_007135,FUN_007442,FUN_010940,FUN_000182,FUN_004121,FUN_011323,FUN_001636,FUN_008233,FUN_005042,FUN_007081,FUN_000018,FUN_002864","Armadillo-type fold","FUN_000998,FUN_004729,FUN_008327,FUN_007591",0.772329711105221,"Armadillo-type fold IPR016024",0.00775851406528492,1,1,1,1
"IPR000900",2,1,"FUN_008781,FUN_008781","Nebulin repeat","FUN_008781",0.00821627352239597,"Nebulin repeat IPR000900",0.00819947418992558,1,1,1,1
"IPR004499",2,1,"FUN_001287,FUN_001287","Proline-tRNA ligase, class IIa, archaeal-type","FUN_001287",0.00821627352239597,"Proline-tRNA ligase, class IIa, archaeal-type IPR004499",0.00819947418992558,1,1,1,1
"IPR007235",2,1,"FUN_013230,FUN_016433","Glycosyl transferase, family 28, C-terminal","FUN_016433",0.00821627352239597,"Glycosyl transferase, family 28, C-terminal IPR007235",0.00819947418992558,1,1,1,1
"IPR010213",2,1,"FUN_014288,FUN_016540","Transcription termination factor NusA","FUN_016540",0.00821627352239597,"Transcription termination factor NusA IPR010213",0.00819947418992558,1,1,1,1
"IPR017151",2,1,"FUN_003351,FUN_003351","5'-3' exoribonuclease type 2","FUN_003351",0.00821627352239597,"5'-3' exoribonuclease type 2 IPR017151",0.00819947418992558,1,1,1,1
